id,gmt_offset_seconds,uses_dst,dst seconds,start month,start week,start day,start hour,end month,end week,end day,end hour,dst end seconds
Europe/Warsaw,3600,TRUE,3600,3,5,Sunday,2,10,5,Sunday,3,0
Europe/Zagreb,3600,TRUE,3600,3,5,Sunday,2,10,5,Sunday,3,0
Pacific/Apia,50400,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Pacific/Auckland,43200,TRUE,3600,9,5,Sunday,2,4,1,Sunday,3,0
Pacific/Auckland,43200,TRUE,3600,9,5,Sunday,2,4,1,Sunday,3,0
Pacific/Chatham,45900,TRUE,3600,9,5,Sunday,2,4,1,Sunday,3,0
Pacific/Fakaofo,46800,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Pacific/Fiji,43200,TRUE,3600,11,1,Sunday,2,1,3,Sunday,2,0
Pacific/Guadalcanal,39600,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Pacific/Guam,36000,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Pacific/Honolulu,-36000,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Pacific/Majuro,43200,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pacific/Midway,-39600,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Pacific/Midway,-43200,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Pacific/Noumea,39600,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Pacific/Pago_Pago,-39600,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Pacific/Port_Moresby,36000,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Pacific/Tongatapu,46800,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
